date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:47:59	67/67	---M--	200	added ('OK')	text/plain	date:Sun,%2016%20Feb%202020%2007:47:58%20GMT	http://epic-dental.test/robots.txt		(from )
23:48:02	33363/33363	---MC-	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2007:47:59%20GMT	http://epic-dental.test/	C:/My%20Web%20Sites/epic-dental/epic-dental.test/index.html	(from )
23:48:02	41467/41467	---M--	200	added ('OK')	text/css	etag:%22a1fb-596a0a3682b00%22	http://epic-dental.test/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-includes/css/dist/block-library/style.min9dff.css	(from http://epic-dental.test/)
23:48:03	329298/329298	---M--	200	added ('OK')	text/css	etag:%2250652-59ea8bc916d98%22	http://epic-dental.test/wp-content/themes/understrap-master/css/theme.min.css?ver=.1581822438	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/themes/understrap-master/css/theme.min3f4e.css	(from http://epic-dental.test/)
23:48:05	1665/1665	---M--	200	added ('OK')	application/rss+xml	etag:%22eea6dd532a801f901e9529bc8f1f8e01%22	http://epic-dental.test/comments/feed/	C:/My%20Web%20Sites/epic-dental/epic-dental.test/comments/feed/index.html	(from http://epic-dental.test/)
23:48:05	2184/2184	---M--	200	added ('OK')	application/rss+xml	etag:%221b5a0a951166d4961acebc85332fbfbf%22	http://epic-dental.test/feed/	C:/My%20Web%20Sites/epic-dental/epic-dental.test/feed/index.html	(from http://epic-dental.test/)
23:48:05	95283/95283	---M--	200	added ('OK')	text/css	etag:%2217433-59e5a56a82b88%22	http://epic-dental.test/wp-content/themes/understrap-master../css/hover.css?ver=5.3.2	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/themes/understrap-master/css/hover9dff.css	(from http://epic-dental.test/)
23:48:08	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5333ff613c400%22	http://epic-dental.test/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://epic-dental.test/)
23:48:08	804/804	---M--	200	added ('OK')	text/xml	date:Sun,%2016%20Feb%202020%2007:48:07%20GMT	http://epic-dental.test/xmlrpc.php?rsd	C:/My%20Web%20Sites/epic-dental/epic-dental.test/xmlrpc0db0.php	(from http://epic-dental.test/)
23:48:09	2169/2169	---M--	200	added ('OK')	application/json	date:Sun,%2016%20Feb%202020%2007:48:08%20GMT	http://epic-dental.test/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fepic-dental.test%2F	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-json/oembed/1.0/embed8a01.json	(from http://epic-dental.test/)
23:48:10	2268/2268	---M--	200	added ('OK')	text/xml	date:Sun,%2016%20Feb%202020%2007:48:09%20GMT	http://epic-dental.test/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fepic-dental.test%2F&format=xml	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-json/oembed/1.0/embed9f8e	(from http://epic-dental.test/)
23:48:13	21910/21910	---M--	200	added ('OK')	image/png	etag:%225596-59dedafcc738e%22	http://epic-dental.test/wp-content/uploads/2020/02/cropped-epic-logo-1.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/cropped-epic-logo-1.png	(from http://epic-dental.test/)
23:48:15	96873/96873	---M--	200	added ('OK')	application/javascript	etag:%2217a69-5890dc7401880%22	http://epic-dental.test/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-includes/js/jquery/jquery4a5f.js	(from http://epic-dental.test/)
23:48:18	26283/26283	---MC-	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2007:48:15%20GMT	http://epic-dental.test/faq/	C:/My%20Web%20Sites/epic-dental/epic-dental.test/faq/index.html	(from http://epic-dental.test/)
23:48:19	1751/1751	---M--	200	added ('OK')	image/png	etag:%226d7-59e614fe3a4af%22	http://epic-dental.test/wp-content/uploads/2020/02/icons8-user-100.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/icons8-user-100.png	(from http://epic-dental.test/)
23:48:19	76986/76986	---MC-	200	added ('OK')	application/json	date:Sun,%2016%20Feb%202020%2007:48:07%20GMT	http://epic-dental.test/wp-json/	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-json/index.html	(from http://epic-dental.test/)
23:48:20	2613/2613	---M--	200	added ('OK')	image/png	etag:%22a35-59e6148954027%22	http://epic-dental.test/wp-content/uploads/2020/02/icons8-add-user-group-man-man-100.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/icons8-add-user-group-man-man-100.png	(from http://epic-dental.test/)
23:48:20	1174/1174	---M--	200	added ('OK')	image/png	etag:%22496-59e5d8aa2f74a%22	http://epic-dental.test/wp-content/uploads/2020/02/icons8-checked-checkbox-96.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/icons8-checked-checkbox-96.png	(from http://epic-dental.test/)
23:48:21	17751/17751	---MC-	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2007:48:19%20GMT	http://epic-dental.test/pick-your-plan/	C:/My%20Web%20Sites/epic-dental/epic-dental.test/pick-your-plan/index.html	(from http://epic-dental.test/)
23:48:22	4161/4161	---M--	200	added ('OK')	image/png	etag:%221041-59e5d9d0d1b20%22	http://epic-dental.test/wp-content/uploads/2020/02/icons8-time-machine-96.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/icons8-time-machine-96.png	(from http://epic-dental.test/)
23:48:22	1919/1919	---M--	200	added ('OK')	image/png	etag:%2277f-59e5db5962320%22	http://epic-dental.test/wp-content/uploads/2020/02/icons8-calendar-plus-96.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/icons8-calendar-plus-96.png	(from http://epic-dental.test/)
23:48:25	1645/1645	---M--	200	added ('OK')	image/png	etag:%2266d-59e5db4e32b78%22	http://epic-dental.test/wp-content/uploads/2020/02/icons8-bonds-96.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/icons8-bonds-96.png	(from http://epic-dental.test/)
23:48:25	2569/2569	---M--	200	added ('OK')	image/png	etag:%22a09-59e5dbbd46f3b%22	http://epic-dental.test/wp-content/uploads/2020/02/icons8-add-to-clipboard-96.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/icons8-add-to-clipboard-96.png	(from http://epic-dental.test/)
23:48:26	3382/3382	---M--	200	added ('OK')	image/png	etag:%22d36-59e5dbfa04614%22	http://epic-dental.test/wp-content/uploads/2020/02/icons8-thumbs-up.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/icons8-thumbs-up.png	(from http://epic-dental.test/)
23:48:26	2864/2864	---M--	200	added ('OK')	image/png	etag:%22b30-59e5e83ac2cd1%22	http://epic-dental.test/wp-content/uploads/2020/02/icons8-renew-96.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/icons8-renew-96.png	(from http://epic-dental.test/)
23:48:27	3681/3681	---M--	200	added ('OK')	image/png	etag:%22e61-59e5e858b7b6b%22	http://epic-dental.test/wp-content/uploads/2020/02/icons8-shop-location-96.png	C:/My%20Web%20Sites/epic-dental/epic-dental.test/wp-content/uploads/2020/02/icons8-shop-location-96.png	(from http://epic-dental.test/)
